date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/5/8,3834.61,3892.07,3878.68,3833.73,94215160,44.49,1.16,3808.824,3799.501,3818.985,86063556.8,88974857.6,92052336
2018/5/9,3876.13,3878.94,3871.62,3855.74,66712964,-7.06,-0.18,3830.418,3810.03,3819.92,82745943.2,86610524.4,91182711
2018/5/10,3882.84,3894.49,3893.06,3867.31,70667808,21.44,0.55,3850.43,3814.987,3818.214,78087282.4,82255353.2,89407415
2018/5/11,3902.15,3903.34,3872.84,3871.95,73356608,-20.22,-0.52,3870.078,3819.401,3814.939,78447746.4,81773753.2,87478594.2
2018/5/14,3886.87,3919.3,3909.29,3886.87,81976000,36.45,0.94,3885.098,3834.781,3815.472,77385708,81256289.2,87442419.8
2018/5/15,3920.14,3924.34,3924.1,3892.92,76049560,14.81,0.38,3894.182,3851.503,3818.12,73752588,79908072.4,87667687.8
2018/5/16,3909.82,3923.34,3892.84,3889.19,71913648,-31.26,-0.8,3898.426,3864.422,3822.319,74792724.8,78769334,86302481.8
2018/5/17,3895.49,3899.51,3864.05,3858.85,59030124,-28.79,-0.74,3892.624,3871.527,3828.089,72465188,75276235.2,84723448.4
2018/5/18,3860.16,3903.06,3903.06,3841.9,72613952,39.01,1.01,3898.668,3884.373,3834.928,72316656.8,75382201.6,83020310.8
2018/5/21,3925.54,3937.46,3921.24,3913.6,92641744,18.18,0.47,3901.058,3893.078,3840.398,74449805.6,75917756.8,82699695.2
2018/5/22,3918.82,3918.82,3906.21,3881.17,75368776,-15.03,-0.38,3897.48,3895.831,3847.666,74313648.8,74033118.4,81503988
2018/5/23,3898.27,3898.27,3854.58,3854.58,83722320,-51.63,-1.32,3889.828,3894.127,3852.079,76675383.2,75734054,81172289.2
2018/5/24,3853.29,3859.1,3827.22,3823.92,68345024,-27.36,-0.71,3882.462,3887.543,3851.265,78538363.2,75501775.6,78878564.4
2018/5/25,3823.74,3841.12,3816.5,3804.13,70836384,-10.72,-0.28,3865.15,3881.909,3850.655,78182849.6,75249753.2,78511753.2
2018/5/28,3816.26,3846.55,3833.26,3799.32,71521128,16.76,0.44,3847.554,3874.306,3854.544,73958726.4,74204266,77730277.6
2018/5/29,3824.19,3841.78,3804.01,3800.67,81552664,-29.25,-0.76,3827.114,3862.297,3856.9,75195504,74754576.4,77331324.4
2018/5/30,3755.18,3767.89,3723.37,3722.07,87913288,-80.64,-2.12,3800.872,3845.35,3854.886,76033697.6,76354540.4,77561937.2
2018/5/31,3749.3,3804.79,3802.38,3742.53,92666888,79.01,2.12,3795.904,3839.183,3855.355,80898070.4,79718216.8,77497226
2018/6/1,3789.67,3802.54,3770.59,3753.84,77821816,-31.79,-0.84,3786.722,3825.936,3855.155,82295156.8,80239003.2,77810602.4
2018/6/4,3785.19,3813.41,3807.58,3776.62,76624344,36.99,0.98,3781.586,3814.57,3853.824,83315800,78637263.2,77277510
2018/6/5,3811.29,3845.56,3845.32,3800.93,78687360,37.74,0.99,3789.848,3808.481,3852.156,82742739.2,78969121.6,76501120
2018/6/6,3839.68,3848.33,3837.35,3830.9,73117232,-7.97,-0.21,3812.644,3806.758,3850.443,79783528,77908612.8,76821333.4
2018/6/7,3846.94,3859.85,3831.01,3827.69,80256152,-6.34,-0.17,3818.37,3807.137,3847.34,77301380.8,79099725.6,77300750.6
2018/6/8,3819.45,3819.46,3779.62,3759.27,83337336,-51.39,-1.34,3820.176,3803.449,3842.679,78404484.8,80349820.8,77799787
2018/6/11,3770.21,3792.55,3779.98,3756.51,68709832,0.36,0.01,3814.656,3798.121,3836.214,76821582.4,80068691.2,77136478.6
2018/6/12,3783.19,3830.47,3825.95,3765.26,73206248,45.97,1.22,3810.782,3800.315,3831.306,75725360,79234049.6,76994313
2018/6/13,3814.62,3817.45,3788.34,3782.07,66377968,-37.61,-0.98,3800.98,3806.812,3826.081,74377507.2,77080517.6,76717529
2018/6/14,3774.64,3808.16,3773.37,3759.25,68471320,-14.97,-0.4,3789.452,3803.911,3821.547,72020540.8,74660960.8,77189588.8
2018/6/15,3763.04,3780.34,3753.43,3737.43,85488888,-19.94,-0.53,3784.214,3802.195,3814.066,72450851.2,75427668,77833335.6
2018/6/19,3702.67,3712.82,3621.12,3583.02,160706544,-132.31,-3.52,3752.442,3783.549,3799.06,90850193.6,83835888,81236575.6
2018/6/20,3602.55,3649.34,3635.44,3578.17,86718096,14.32,0.4,3714.34,3762.561,3785.521,93552563.2,84638961.6,81804041.6
2018/6/21,3633.56,3673.56,3592.97,3589.49,93908552,-42.47,-1.17,3675.266,3738.123,3772.441,99058680,86718093.6,82313353.2
2018/6/22,3567.89,3609.08,3608.9,3542.46,75117864,15.93,0.44,3642.372,3715.912,3761.525,100387988.8,86204264.8,82651995.2
2018/6/25,3625.8,3631.03,3560.48,3559.03,79877080,-48.42,-1.34,3603.782,3693.998,3748.724,99265627.2,85858239.2,83104030
2018/6/26,3521.59,3541.78,3531.11,3478.21,84985264,-29.37,-0.82,3585.78,3669.111,3733.616,84121371.2,87485782.4,83777236.8
2018/6/27,3525.13,3537.66,3459.26,3441.78,81491816,-71.85,-2.04,3550.544,3632.442,3716.379,83076115.2,88314339.2,83774194.4
2018/6/28,3434.94,3477.06,3423.53,3416.95,75918048,-35.73,-1.03,3516.656,3595.961,3701.387,79478014.4,89268347.2,83174432.4
2018/6/29,3431.96,3512.38,3510.98,3425.22,77257032,87.45,2.55,3497.072,3569.722,3686.817,79905848,90146918.4,82403939.6
2018/7/2,3504.46,3506.9,3407.96,3383.5,84351448,-103.02,-2.93,3466.568,3535.175,3668.685,80800721.6,90033174.4,82730421.2
2018/7/3,3410.48,3422.04,3409.28,3319.29,95278696,1.32,0.04,3442.202,3513.991,3648.77,82859408,83490389.6,83663138.8
2018/7/4,3398.78,3418.33,3363.75,3359.09,75157992,-45.53,-1.33,3423.1,3486.822,3624.692,81592643.2,82334379.2,83486670.4
2018/7/5,3365.55,3398.49,3342.44,3330.71,81587984,-21.31,-0.63,3406.882,3461.769,3599.946,82726630.4,81102322.4,83910208
2018/7/6,3347.06,3396.25,3365.12,3295.73,86097584,22.68,0.68,3377.71,3437.391,3576.652,84494740.8,82200294.4,84202279.6
2018/7/9,3378.91,3459.32,3459.18,3378.91,76601544,94.06,2.79,3387.954,3427.261,3560.63,82944760,81872740.8,83865490
2018/7/10,3464.91,3474.14,3467.52,3437.27,69548824,8.34,0.24,3399.602,3420.902,3545.007,77798785.6,80329096.8,83907439.6
2018/7/11,3398.93,3427.57,3407.53,3375.14,72040952,-59.99,-1.73,3408.358,3415.729,3524.086,77175377.6,79384010.4,83849174.8
2018/7/12,3403.33,3499.1,3481.06,3403.33,96353568,73.53,2.16,3436.082,3421.482,3508.722,80128494.4,81427562.4,85347954.8
2018/7/13,3488.5,3499.76,3492.69,3474.91,72955896,11.63,0.33,3461.596,3419.653,3494.688,77500156.8,80997448.8,85572183.6
