,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
380,600036.SH,20180306,28.6566,28.732,27.8079,28.3266,28.4303,-0.1036999999999999,-0.3648,618836.56,1851222.444
379,600036.SH,20180307,28.7603,29.3073,28.6189,29.0149,28.3266,0.6883000000000017,2.4299,842334.44,2596877.499
378,600036.SH,20180308,29.0904,29.2884,28.6755,29.1564,29.0149,0.14150000000000063,0.4877,405007.23,1247826.582
377,600036.SH,20180309,29.4204,29.7033,29.213,29.3733,29.1564,0.21689999999999898,0.7439,355100.45,1108939.311
376,600036.SH,20180312,29.6467,29.6939,29.0432,29.0809,29.3733,-0.29240000000000066,-0.9955,581736.96,1807020.723
375,600036.SH,20180313,29.1375,29.5901,28.8829,28.9772,29.0809,-0.1036999999999999,-0.3566,373746.86,1158438.69
374,600036.SH,20180314,28.8263,28.8546,28.4869,28.6566,28.9772,-0.3205999999999989,-1.1064,263175.99,798808.451
373,600036.SH,20180315,28.4869,28.9301,28.4869,28.7792,28.6566,0.12259999999999849,0.4278,241959.76,737285.318
372,600036.SH,20180316,28.8263,28.9301,28.3832,28.4114,28.7792,-0.367799999999999,-1.278,368024.29,1116503.072
371,600036.SH,20180319,28.2983,28.9866,28.1946,28.9584,28.4114,0.5470000000000006,1.9253,322733.32,980755.532
370,600036.SH,20180320,28.8075,29.3261,28.7698,29.2224,28.9584,0.26399999999999935,0.9117,382394.59,1181777.239
369,600036.SH,20180321,29.4958,29.9862,29.345,29.477,29.2224,0.25459999999999994,0.8712,585145.45,1841756.794
368,600036.SH,20180322,29.4958,29.7316,28.8169,29.4487,29.477,-0.028300000000001546,-0.096,446275.24,1386451.117
367,600036.SH,20180323,28.5717,28.666,28.1474,28.5812,29.4487,-0.8674999999999997,-2.9458,866428.19,2611002.881
366,600036.SH,20180326,28.534,28.534,27.1102,27.4496,28.5812,-1.1315999999999988,-3.9592,905780.29,2654133.43
