,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1747,600036.SH,20120709,215105,22012.02,85500,8741.22,310671,31797.93,163392,16710.25,356701,36543.51,339219,34795.16,465418,47737.19,759784,77844.02,-181313,-18526.99
1746,600036.SH,20120710,60888,6170.19,39856,4042.52,123988,12565.63,96156,9748.54,163933,16613.18,179782,18219.07,129887,13162.87,162901,16501.75,30035,3064.31
1745,600036.SH,20120711,83693,8414.93,34798,3504.22,137298,13807.91,75229,7575.86,136208,13688.7,99287,9998.02,147316,14794.81,295201,29628.27,9054,923.5
1744,600036.SH,20120712,108747,10841.67,74466,7445.4,205421,20504.35,248966,24877.35,296275,29603.56,261479,26136.97,199993,20011.19,225525,22501.04,-54725,-5401.4
1743,600036.SH,20120713,45719,4631.89,75471,7661.08,113543,11511.84,120878,12265.8,179521,18209.3,168743,17108.5,123280,12518.23,96971,9835.87,14286,1467.89
1742,600036.SH,20120716,64929,6590.28,56468,5740.63,160725,16310.38,130093,13216.62,125410,12729.92,115696,11753.86,107547,10931.18,156356,15850.66,17897,1838.74
1741,600036.SH,20120717,26496,2688.62,34324,3484.73,86505,8777.2,76973,7813.39,98160,9965.13,91403,9280.59,80173,8136.76,88633,8989.0,9999,1022.36
1740,600036.SH,20120718,46650,4692.67,30985,3120.4,124789,12557.27,97938,9856.9,111927,11269.02,114122,11486.62,60926,6132.6,101247,10187.65,-19410,-1940.83
1739,600036.SH,20120719,59951,6056.15,31008,3132.77,110806,11191.75,107784,10884.46,156636,15829.19,162151,16385.3,117665,11898.27,144115,14572.83,-44801,-4506.93
1738,600036.SH,20120720,87233,8719.54,39352,3932.62,140001,13994.66,123004,12299.72,149480,14943.07,123944,12392.02,109630,10958.33,200042,19991.24,-115353,-11519.42
1737,600036.SH,20120723,162412,15757.1,74995,7274.8,232684,22578.28,187660,18208.93,239901,23301.14,192434,18705.12,152089,14755.83,331998,32203.51,-231588,-22469.04
1736,600036.SH,20120724,109914,10555.08,56573,5439.95,188800,18136.79,183543,17641.89,195902,18815.46,245288,23571.62,103006,9910.91,112218,10764.79,-52234,-4980.86
1735,600036.SH,20120725,48635,4671.06,34650,3328.16,96906,9309.63,112949,10852.01,109318,10504.83,119459,11474.3,36547,3507.65,24348,2338.7,-15712,-1499.77
1734,600036.SH,20120726,36222,3482.03,42538,4092.56,75229,7231.87,100208,9640.06,102632,9868.05,96122,9246.3,82874,7978.66,58091,5581.71,-11347,-1081.83
1733,600036.SH,20120727,61459,5987.28,80796,7877.92,189700,18481.11,231623,22573.74,172841,16849.3,156615,15271.58,107759,10519.55,62726,6114.0,11690,1152.26
1732,600036.SH,20120730,46163,4536.62,62888,6183.89,109563,10765.55,118154,11616.7,166027,16321.47,147471,14496.74,95140,9359.16,88379,8685.47,14342,1428.51
1731,600036.SH,20120731,66520,6603.53,79163,7860.38,149994,14883.95,154428,15328.68,115648,11477.15,134649,13367.7,83809,8330.47,47731,4738.34,50587,5040.13
1730,600036.SH,20120801,47776,4733.17,50545,5018.03,121663,12060.58,147605,14649.37,133545,13252.98,157944,15677.67,175678,17457.02,122568,12158.69,5513,601.89
1729,600036.SH,20120802,46614,4662.72,53997,5402.71,96582,9659.38,106543,10658.48,116638,11668.79,123843,12391.04,150578,15070.64,126030,12609.3,-34511,-3441.96
1728,600036.SH,20120803,18724,1872.24,23827,2382.95,60491,6048.21,55361,5535.68,81914,8188.9,72700,7271.62,91613,9159.97,100855,10079.08,-6838,-672.7
1727,600036.SH,20120806,34223,3425.43,32399,3245.62,87411,8748.91,122434,12257.95,90469,9054.94,106873,10698.67,97768,9794.54,48164,4821.58,-26162,-2601.67
1726,600036.SH,20120807,32759,3276.33,29650,2966.5,65780,6579.76,95299,9533.88,83823,8384.27,70118,7014.06,57723,5774.16,45018,4500.08,-43133,-4300.59
1725,600036.SH,20120808,32944,3315.88,40760,4103.19,93513,9408.9,117305,11806.01,122515,12333.48,100072,10073.47,38388,3866.09,29222,2941.69,37127,3746.81
1724,600036.SH,20120809,35522,3574.01,31328,3151.43,53316,5361.1,79207,7967.98,68118,6850.12,56974,5729.4,37783,3798.08,27229,2734.51,16407,1657.93
1723,600036.SH,20120810,32948,3351.72,49566,5044.02,96337,9804.99,86931,8845.57,78875,8023.34,88266,8976.55,62494,6356.29,45892,4670.2,54808,5583.77
1722,600036.SH,20120813,32857,3339.28,48380,4919.26,161892,16463.6,109660,11151.28,86656,8803.85,114822,11669.37,105624,10730.09,114168,11596.89,27093,2769.12
1721,600036.SH,20120814,28449,2895.21,36883,3755.69,91569,9329.73,104399,10628.23,85084,8657.81,88305,8984.61,110431,11222.42,85945,8736.64,-29045,-2932.62
1720,600036.SH,20120815,52011,5199.54,25320,2534.49,78175,7815.81,86473,8657.71,128702,12864.31,94498,9446.84,135738,13570.38,188335,18811.0,-87734,-8785.04
1719,600036.SH,20120816,36178,3580.68,21776,2158.54,61242,6064.06,51912,5143.85,53403,5292.03,77294,7657.23,41897,4152.89,41738,4130.04,3364,349.17
